time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702226473.5109975;PPO;env;4;-2.800706635631944;[-2.80070664 -2.83220924 -2.83408561 -2.8382188 ];15;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702226756.6917312;PPO;env;4;-2.8072535811145753;[-2.80725358 -2.83134675 -2.83366292 -2.83905125];16;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227044.213321;PPO;env;4;-2.8118172424149317;[-2.81181724 -2.83038718 -2.83333671 -2.84063087];17;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227331.596669;PPO;env;4;-2.8129613995837093;[-2.8129614  -2.82968753 -2.83133642 -2.8387113 ];18;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227615.1083968;PPO;env;4;-2.8118165425626014;[-2.81181654 -2.82927436 -2.82957009 -2.84095892];19;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702227903.3525386;PPO;env;4;-2.8135626698272374;[-2.81356267 -2.8334275  -2.82928648 -2.84443779];20;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702228188.987069;PPO;env;4;-2.812545034654001;[-2.81254503 -2.83431856 -2.8300139  -2.84098616];21;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702228478.2280018;PPO;env;4;-2.812081387516645;[-2.81208139 -2.83659297 -2.83245006 -2.84219731];22;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702228768.1768768;PPO;env;4;-2.8132269289031955;[-2.81322693 -2.83499018 -2.82875256 -2.84410098];23;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702229060.2663631;PPO;env;4;-2.813824711677856;[-2.81382471 -2.83433395 -2.82813194 -2.84543668];24;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702229349.4161856;PPO;env;4;-2.8168331318279183;[-2.81683313 -2.83662849 -2.82811337 -2.84619528];25;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702229640.4707067;PPO;env;4;-2.8191726520784472;[-2.81917265 -2.83592737 -2.83055295 -2.84617039];26;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702229927.3932412;PPO;env;4;-2.8201440240714475;[-2.82014402 -2.83657362 -2.8308917  -2.84453109];27;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702230215.7019444;PPO;env;4;-2.81916260823791;[-2.81916261 -2.83675749 -2.82805835 -2.84580396];28;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702230503.5212395;PPO;env;4;-2.819679507846835;[-2.81967951 -2.83550558 -2.83028272 -2.84628511];29;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702230791.555383;PPO;env;4;-2.820195823873784;[-2.82019582 -2.83370221 -2.82980383 -2.84471851];30;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702231079.4366271;PPO;env;4;-2.8208088255539248;[-2.82080883 -2.83453381 -2.83088483 -2.84361742];31;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702231360.3082569;PPO;env;4;-2.8173704650257902;[-2.81737047 -2.8355974  -2.82990227 -2.84328626];32;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702231644.832296;PPO;env;4;-2.820572675043399;[-2.82057268 -2.83544121 -2.83015155 -2.84129449];33;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702231927.068846;PPO;env;4;-2.8171843708170683;[-2.81718437 -2.83516725 -2.83007898 -2.84267123];34;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702232213.3560433;PPO;env;4;-2.8180385432717596;[-2.81803854 -2.83691621 -2.83124003 -2.84202552];35;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702232504.0331059;PPO;env;4;-2.816926000569902;[-2.816926   -2.83547803 -2.8326088  -2.84191395];36;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702232788.7282207;PPO;env;4;-2.815721564071191;[-2.81572156 -2.83417693 -2.83266561 -2.84035816];37;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702233077.5189416;PPO;env;4;-2.816773402932314;[-2.8167734  -2.83279472 -2.83431089 -2.84081404];38;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702233364.1421494;PPO;env;4;-2.8182886766449817;[-2.81828868 -2.83352953 -2.83585167 -2.84216552];39;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702233652.8578146;PPO;env;4;-2.8184281761383376;[-2.81842818 -2.83368586 -2.83467133 -2.8414354 ];40;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702233942.918477;PPO;env;4;-2.8199672894018555;[-2.81996729 -2.83303318 -2.8335865  -2.83977999];41;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702234236.7189248;PPO;env;4;-2.8208742851375934;[-2.82087429 -2.83322498 -2.83417468 -2.84080062];42;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702234519.1789644;PPO;env;4;-2.821726528144699;[-2.82172653 -2.83426332 -2.83100013 -2.84127134];43;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702234803.61021;PPO;env;4;-2.8212015813369447;[-2.82120158 -2.83433438 -2.83119797 -2.84051571];44;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702235088.286582;PPO;env;4;-2.8205429300706624;[-2.82054293 -2.83466658 -2.83030255 -2.84079795];45;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702235379.5259187;PPO;env;4;-2.8204510372704625;[-2.82045104 -2.83497754 -2.83134388 -2.84116982];46;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702235668.864064;PPO;env;4;-2.820680473773112;[-2.82068047 -2.83532697 -2.83221529 -2.84030894];47;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702235956.0544596;PPO;env;4;-2.821602885363468;[-2.82160289 -2.83600785 -2.83136062 -2.84027815];48;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702236242.8141348;PPO;env;4;-2.8219854047348356;[-2.8219854  -2.83676466 -2.83090949 -2.83962782];49;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702236526.757657;PPO;env;4;-2.8234766156757956;[-2.82347662 -2.83694659 -2.83067924 -2.83938024];50;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702236810.9261103;PPO;env;4;-2.8239263430585537;[-2.82392634 -2.8363539  -2.83059576 -2.83994759];51;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702237093.9048905;PPO;env;4;-2.823147188290176;[-2.82314719 -2.83551199 -2.8310156  -2.83944318];52;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702237379.9723272;PPO;env;4;-2.823572117033122;[-2.82357212 -2.83527075 -2.83043891 -2.84060408];53;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702237664.364886;PPO;env;4;-2.823072226191949;[-2.82307223 -2.83516632 -2.82930953 -2.84167842];54;100;0;10000.0;./weights/PPO-env-4-LND.sav
1702237949.4643266;PPO;env;4;-2.8225322912511848;[-2.82253229 -2.83432698 -2.8287568  -2.84093928];55;100;0;10000.0;./weights/PPO-env-4-LND.sav
