time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702421995.6547697;PPO;env;4;2.627607215066281;[2.61991661 2.62625055 2.62760722 2.6215796 ];13;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702422269.3746657;PPO;env;4;2.628360953789005;[2.62129664 2.6262611  2.62836095 2.62163996];14;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702422541.8067374;PPO;env;4;2.6284757294623464;[2.62120071 2.62656002 2.62847573 2.62011227];15;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702422806.4972792;PPO;env;4;2.6278599375866576;[2.62235453 2.62554196 2.62785994 2.62146081];16;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702423076.2906506;PPO;env;4;2.6265584937707493;[2.62222772 2.62507368 2.62655849 2.62465958];17;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702423345.3503535;PPO;env;4;2.6266705510880097;[2.62207626 2.62650988 2.62667055 2.6240453 ];18;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702423616.6790538;PPO;env;4;2.6274369322813556;[2.62181598 2.62428872 2.62743693 2.62469031];19;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702423896.217804;PPO;env;4;2.6269322916840077;[2.62083793 2.62427029 2.62693229 2.6241437 ];20;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702424168.195311;PPO;env;4;2.6278707882054246;[2.61965393 2.62381192 2.62787079 2.62487475];21;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702424443.8453047;PPO;env;4;2.629124600704082;[2.62032662 2.62476694 2.6291246  2.62499613];22;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702424716.945148;PPO;env;4;2.6290107467348904;[2.62105799 2.62457892 2.62901075 2.62468964];23;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702424986.8088317;PPO;env;4;2.629380981337001;[2.62135624 2.62383403 2.62938098 2.62521994];24;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702425259.2137535;PPO;env;4;2.629036927016419;[2.62155599 2.62465482 2.62903693 2.62464544];25;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702425528.7384865;PPO;env;4;2.6293074646271504;[2.62184036 2.62453844 2.62930746 2.62438136];26;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702425801.644467;PPO;env;4;2.628301039494495;[2.62193134 2.62453423 2.62830104 2.62465814];27;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
